,global_max,global_mean,glotis_max,larynx_max,upper_trachea_bottom_max,gl_max,gr_max,epiglotis_max
l_rr,-0.22,-0.259,0.029,-0.035,-0.303,-0.275,-0.297,-0.037
l_r,0.219,0.167,0.0,0.072,0.076,0.125,0.08,0.079
l_lrr,-0.188,-0.226,-0.225,-0.162,-0.12,-0.144,-0.15,-0.115
l_lrl,-0.163,-0.138,0.062,0.049,-0.121,-0.154,-0.12,0.074
d_trachea,0.143,-0.031,-0.161,-0.14,-0.121,-0.072,-0.107,-0.097
A_glotis,-0.137,-0.134,0.095,0.059,-0.159,-0.154,-0.159,0.077
teta_branch_r,-0.137,-0.108,0.035,0.1,-0.066,-0.1,-0.093,0.133
l_rlr,0.129,0.061,0.01,-0.099,0.068,0.066,0.054,-0.11
l_ll,0.104,0.051,0.053,0.04,0.016,0.043,0.023,-0.019
teta_branch_rr,0.099,0.126,0.013,-0.045,0.193,0.187,0.187,-0.089
l_lr,0.094,0.085,-0.094,-0.128,0.103,0.112,0.108,-0.138
teta_branch_rl,0.09,0.108,0.025,-0.021,-0.009,0.054,0.025,-0.005
teta_branch_lr,0.082,0.028,-0.167,-0.182,0.047,0.061,0.06,-0.194
l_l,-0.068,-0.139,-0.004,-0.038,-0.073,-0.123,-0.095,-0.019
l_rrl,0.061,0.084,0.048,-0.014,0.078,0.075,0.083,-0.005
l_lll,-0.047,0.014,0.04,0.046,0.073,0.013,0.064,0.028
l_trachea,-0.046,-0.067,-0.061,-0.206,-0.032,-0.026,-0.025,-0.216
l_llr,0.04,0.155,-0.134,-0.014,0.135,0.157,0.146,-0.009
l_rrr,0.039,-0.037,0.002,0.098,0.026,-0.013,0.016,0.096
teta_branch_ll,0.038,0.01,-0.12,-0.073,0.038,0.026,0.031,-0.077
teta_branch_trachea,0.033,0.084,0.039,0.078,0.104,0.087,0.098,0.089
teta_branch_l,-0.023,-0.048,0.014,-0.038,-0.048,-0.073,-0.037,-0.068
l_rl,0.021,0.097,0.023,0.062,0.05,0.074,0.08,0.039
l_rll,-0.018,-0.043,-0.038,-0.005,-0.034,-0.051,-0.039,0.006
r_curvature,-0.006,0.004,0.115,0.167,0.011,-0.007,0.002,0.173
A_epiglotis,0.006,0.052,-0.007,0.069,-0.007,0.015,-0.007,0.08
